[0, 0]:	aakkoset - алфавит
[1559, 1559]:	kymnaasissa - в гимназии (от kymnaasia)
[156, 156]:	asiaton - необоснованный, праздный, неправильный
[1560, 1560]:	kymppi - десятка
[1561, 1561]:	kynsi - ноготь
[1562, 1562]:	kynsilakka - лак для ногтей
[1563, 1563]:	kynsisakset - ножницы для ногтей
[1564, 1564]:	kynttilä - свеча
[1565, 1565]:	kyntää - пахать
[1566, 1566]:	kynä - ручка
[1567, 1567]:	kyrillinen kirjaimisto - кириллица
[1568, 1568]:	kyseessä oleva - тот, о котором идет речь
[1569, 1569]:	kysellä - расспрашивать
[157, 157]:	askel - шаг
[1570, 1570]:	kysymyksiä - вопросы
[1571, 1571]:	kysymys - вопрос
[1572, 1572]:	kysyä - спросить, спрашивать
[1573, 1573]:	kytkin - сцепление
[1574, 1574]:	kyvykäs - способный
[1575, 1575]:	kyydi - подвоз (на машине)
[1576, 1576]:	kyyhky - голубь
[1577, 1577]:	kyynelet silmissä - со слезами на глазах
[1578, 1578]:	kyynärpää - локоть
[1579, 1579]:	kyytihevonen - почтовая лошадь
[158, 158]:	aski - пачка
[1580, 1580]:	kädenojennus - протягивание руки
[1581, 1581]:	käki - кукушка
[1582, 1582]:	käkättää - стрекотать
[1583, 1583]:	kämmen - ладонь
[1584, 1584]:	kärsimättömästi - нетерпеливо
[1585, 1585]:	kärsivällinen - терпеливый
[1586, 1586]:	kärsivällisyys - терпение
[1587, 1587]:	kärsiä - страдать
[1588, 1588]:	käsi - рука
[1589, 1589]:	käsikirja - справочник
[159, 159]:	askin - пачку
[1590, 1590]:	käsilaukku - сумочка
[1591, 1591]:	käsineet - варежки, рукавицы
[1592, 1592]:	käsitellä - рассматривать
[1593, 1593]:	käsittää - заключать в себе, охватывать
[1594, 1594]:	käsitys - представление, понятие
[1595, 1595]:	käsivarsi - рука (от кисти до плеча)
[1596, 1596]:	käsivoide - крем для рук
[1597, 1597]:	käsky - приказ, приказание
[1598, 1598]:	kätellä - поздороваться за руку
[1599, 1599]:	kävellä - ходить, гулять
[16, 16]:	ahkerasti - прилежно
[160, 160]:	aspirantti - аспирант
[1600, 1600]:	kävely - прогулка
[1601, 1601]:	kävelykeppi - тросточка
[1602, 1602]:	kävelylle - на прогулку (от kдvely)
[1603, 1603]:	kävijä - посетитель
[1604, 1604]:	käväistä - сходить, сбегать
[1605, 1605]:	käydä - ходить, идти, сходить
[1606, 1606]:	käydä koulua - учиться в школе,
[1607, 1607]:	käydä ostoksilla - делать покупки,
[1608, 1608]:	käydä vieraisilla - ходить в гости
[1609, 1609]:	käyminen - хождение
[161, 161]:	assistentti - ассистент
[1610, 1610]:	käynnistin - стартер
[1611, 1611]:	käyttäytyä - вести себя
[1612, 1612]:	käyttää - пользоваться, употреблять, применять
[1613, 1613]:	käytän - употребляю
[1614, 1614]:	käytännöllinen - практичный
[1615, 1615]:	käytännöllistä - практично (от kдytännцllinen)
[1616, 1616]:	käytävä - коридор
[1617, 1617]:	käännös - поворот, перемена, перевод
[1618, 1618]:	kääntykää - обратитесь (от kääntyд)
[1619, 1619]:	kääntyä - поворачиваться, повертываться, оборачиваться, обращаться
[162, 162]:	aste - градус
[1620, 1620]:	kääntäjä - переводчик
[1621, 1621]:	kääntää - переводить
[1622, 1622]:	käärme - змея
[1623, 1623]:	kölninvesi - одеколон
[1624, 1624]:	köpötellä - неуклюже ступать, ковылять, ходить мелкими шажками
[1625, 1625]:	köyhyys - бедность
[1626, 1626]:	köyhä - бедный
[1627, 1627]:	köysi - канат, веревка, трос
[1628, 1628]:	laaja - обширный, большой
[1629, 1629]:	laakso - долина
[163, 163]:	astetta - градусов
[1630, 1630]:	laastari - пластырь
[1631, 1631]:	laastarin - пластырь (от laastari)
[1632, 1632]:	laatia - составлять
[1633, 1633]:	Laatokka - Ладожское озеро
[1634, 1634]:	laatu - качество, сорт
[1635, 1635]:	ladata - заряжать
[1636, 1636]:	ladatkaa - зарядите (от ladata)
[1637, 1637]:	lahja - подарок
[1638, 1638]:	lahjakas - талантливый
[1639, 1639]:	lahjakkuus - талант
[164, 164]:	asti - до
[1640, 1640]:	lahjan - подарок (от lahja)
[1641, 1641]:	lahjasta - за подарок (от lahja)
[1642, 1642]:	lahjoittaa - дарить
[1643, 1643]:	laiha - худой, тощий
[1644, 1644]:	laihdutuskuuri - диета для похудения
[1645, 1645]:	laihtua - худеть
[1646, 1646]:	lainaa - заем, ссуда, кредит, долг
[1647, 1647]:	lainata - одолжить, дать взаймы
[1648, 1648]:	laiska - ленивый
[1649, 1649]:	laiskasti - лениво
[165, 165]:	astia - посуда
[1650, 1650]:	laita - борт
[1651, 1651]:	laite - аппарат, прибор, устройство
[1652, 1652]:	laiton - незаконный 
[1653, 1653]:	laitos - учреждение
[1654, 1654]:	laittaa - делать, готовить
[1655, 1655]:	laituri - причал, пристань, платформа, посадочная платформа, посадочная площадка
[1656, 1656]:	laiturilta - с платформы (от laituri)
[1657, 1657]:	laiva - судно, теплоход
[1658, 1658]:	laivaan - на теплоход (от laiva)
[1659, 1659]:	laivamatka - путешествие на теплоходе, на корабле
[166, 166]:	astiat - посуда, посуды
[1660, 1660]:	laivamme - наш теплоход (от laiva)
[1661, 1661]:	laivaonnettomuus - кораблекрушение
[1662, 1662]:	laji - вид (зоологическое, ботаническое)
[1663, 1663]:	lakata - переставать, прекращаться, утихать
[1664, 1664]:	lakitiede - юриспруденция, право (наука)
[1665, 1665]:	lakitiedettä - право (от lakitiede)
[1666, 1666]:	lakka - лак
[1667, 1667]:	lakki - шапка, фуражка
[1668, 1668]:	lakko - забастовка
[1669, 1669]:	lammas - баран
[167, 167]:	astma - астма
[1670, 1670]:	lampaankyljys - баранья отбивная
[1671, 1671]:	lampaanliha - баранина
[1672, 1672]:	lapaset - варежки
[1673, 1673]:	Lappi - Лапландия
[1674, 1674]:	lapsenlapsi - внуки (дети детей)
[1675, 1675]:	lapset - дети
[1676, 1676]:	lapseton - бездетный 
[1677, 1677]:	lapsi - ребенок
[1678, 1678]:	lapsia - дети (от lapsi)
[1679, 1679]:	lapsuus - детство
[168, 168]:	astua - ступать, шагать
[1680, 1680]:	lasi - стекло, стакан
[1681, 1681]:	lasillinen - стакан
[1682, 1682]:	lasillisen - стакан (от lasillinen)
[1683, 1683]:	lasimaalaus - витраж
[1684, 1684]:	lasit - очки
[1685, 1685]:	laskea - спускаться, снижаться
[1686, 1686]:	laskee - снижается (от laskea)
[1687, 1687]:	lasketella - спускаться на горных лыжвх
[1688, 1688]:	lasku - счет
[1689, 1689]:	laskun - счет (от lasku)
[169, 169]:	asu - туалет, наряд,внешний вид
[1690, 1690]:	laskuportaat - трап
[1691, 1691]:	lasta - ребенка (от lapsi)
[1692, 1692]:	lastenlapset - внуки
[1693, 1693]:	lastentarha - детский сад
[1694, 1694]:	lastenvaunut - детская коляска
[1695, 1695]:	lattia - пол
[1696, 1696]:	lauantai - суббота
[1697, 1697]:	lauantaina - в субботу (от lauantai)
[1698, 1698]:	laukaista - стремительно бросить, выпустить, выстрелить
[1699, 1699]:	laukku - портфель
[17, 17]:	ahven - окунь
[170, 170]:	asua - жить, проживать
[1700, 1700]:	laulaa - петь
[1701, 1701]:	laulajatar - певица
[1702, 1702]:	laulella - петь, напевать
[1703, 1703]:	laulu - песня
[1704, 1704]:	lauma - стадо, стая
[1705, 1705]:	laureatuksen - лауреата (от laureatus)
[1706, 1706]:	laureatus - лауреат
[1707, 1707]:	lause - предложение (грамматическое)
[1708, 1708]:	lausua - произносить
[1709, 1709]:	lausua julki mielipiteensä - высказать свое мнение
[171, 171]:	asukas - жилец
[1710, 1710]:	lausutaan - произносится (от lausua)
[1711, 1711]:	lautanen - тарелка
[1712, 1712]:	lautasliina - салфетка
[1713, 1713]:	lauteet - полок
[1714, 1714]:	lautta - паром
[1715, 1715]:	lehdenmyyjä - продавец газет
[1716, 1716]:	lehmä - корова
[1717, 1717]:	lehti - лист, газета
[1718, 1718]:	lehtikioski - газетный киоск
[1719, 1719]:	lehtimies - журналист
[172, 172]:	asuminen - пребывание
[1720, 1720]:	lehtiö - блокнот
[1721, 1721]:	lehtori - преподаватель
[1722, 1722]:	leikata - резать
[1723, 1723]:	leike - шницель
[1724, 1724]:	leikillä - шутя, в шутку
[1725, 1725]:	leikkaus - операция
[1726, 1726]:	leikki - игра, шутка
[1727, 1727]:	leikkikalu - игрушка
[1728, 1728]:	leikkiä - играть
[1729, 1729]:	leikkuupuimuri - уборочный комбайн
[173, 173]:	asun - я живу
[1730, 1730]:	leima - печать
[1731, 1731]:	leimata - штемпелевать, компостировать
[1732, 1732]:	leimaus - компостер
[1733, 1733]:	leipoa - печь
[1734, 1734]:	leipä - хлеб
[1735, 1735]:	leipäkauppa - булочная
[1736, 1736]:	leirintäalue - кемпинг
[1737, 1737]:	leirintäalueelle - к кемпингу (от leirintäalue)
[1738, 1738]:	leivonnainen - выпечка
[1739, 1739]:	leivos - пирожное
[174, 174]:	asunto - квартира
[1740, 1740]:	lelu - игрушка
[1741, 1741]:	lelukauppa - магазин игрушек
[1742, 1742]:	lemmikit - незабудки
[1743, 1743]:	lemmikki - любимец, дом. любимец
[1744, 1744]:	lempiä - любить
[1745, 1745]:	leningin - платье (от leninki)
[1746, 1746]:	leninki - платье
[1747, 1747]:	lenkkarit - кроссовки (1)
[1748, 1748]:	lenkkitossut - кроссовки (2)
[1749, 1749]:	lennolle - на рейс (от lento)
[175, 175]:	asuntola - общежитие
[1750, 1750]:	lennon - рейса (от lento)
[1751, 1751]:	lennätin - телеграф
[1752, 1752]:	lento - рейс
[1753, 1753]:	lentoasema - аэропорт, аэровокзал
[1754, 1754]:	lentoasemalta - с аэропорта (от lentoasema)
[1755, 1755]:	lentoemäntä - стюардесса
[1756, 1756]:	lentokenttä - аэродром
[1757, 1757]:	lentokentälle - в аэропорт (от lentokentta)
[1758, 1758]:	lentokone - самолет
[1759, 1759]:	lentokoneeseen - в самолет (от lentokone)
[176, 176]:	asuntolaina - ссуда на жилье
[1760, 1760]:	lentokoneiden - самолетов (от lentokone)
[1761, 1761]:	lentolippu - авиабилет
[1762, 1762]:	lentoonlähtö - взлет
[1763, 1763]:	lentopallo - волейбол
[1764, 1764]:	lentosää - летная погода
[1765, 1765]:	lentäjä - летчик
[1766, 1766]:	lentää - летать
[1767, 1767]:	lepo - покой
[1768, 1768]:	lepoa - покой (от lepo)
[1769, 1769]:	leppyä - перестать сердиться, смягчиться
[177, 177]:	asuntovuokra - квартплата
[1770, 1770]:	leskenlehti - мать-и-мачеха
[1771, 1771]:	letku - рукав, шланг
[1772, 1772]:	lettu - блин, блинчик
[1773, 1773]:	leuka - подбородок
[1774, 1774]:	leveys - ширина
[1775, 1775]:	leveä - широкий
[1776, 1776]:	leveät - широкие
[1777, 1777]:	levittää - расстелить, расстилать
[1778, 1778]:	levittää käsiään - развести руками
[1779, 1779]:	levitä - распространяться
[178, 178]:	asuntovuokranne - ваша квартплата
[1780, 1780]:	levitän - раскрывать, расправлять
[1781, 1781]:	levy - пластинка, лист
[1782, 1782]:	levyllä - на пластинке (от levy)
[1783, 1783]:	levätä - отдыхать
[1784, 1784]:	leäämään - отдыхать (процесс)
[1785, 1785]:	liata - пачкать
[1786, 1786]:	liha - мясо
[1787, 1787]:	lihakauppa - мясной магазин
[1788, 1788]:	lihakset - мускулы
[1789, 1789]:	lihaliemi - бульон
[179, 179]:	asusteita - одежда
[1790, 1790]:	lihalla - с мясом (от liha)
[1791, 1791]:	lihapulla - котлета
[1792, 1792]:	liharuoka - мясное блюдо
[1793, 1793]:	liharuokia - мясные блюда
[1794, 1794]:	lihas - мышца
[1795, 1795]:	liian - лишний, слишком
[1796, 1796]:	liika - лишний
[1797, 1797]:	liike II - магазин
[1798, 1798]:	liike I - движение, ход, обращение
[1799, 1799]:	liike III - упражнение (спорт.)
[18, 18]:	aide - колея, (рельсовый) путь
